source;source_version;urgency;status;fixed_version;debianbug;release;cve
apt;1.4.8;unimportant;open;undefined;642480;stretch;CVE-2011-3374
coreutils;8.26-3;low**;open;undefined;816320;stretch;CVE-2016-2781
coreutils;8.26-3;unimportant;open;undefined;undefined;stretch;CVE-2017-18018
glibc;2.24-11+deb9u3;unimportant;open;undefined;undefined;stretch;CVE-2010-4051
glibc;2.24-11+deb9u3;medium**;open;undefined;856503;stretch;CVE-2016-10228
glibc;2.24-11+deb9u3;unimportant;open;undefined;undefined;stretch;CVE-2010-4052
glibc;2.24-11+deb9u3;low;open;undefined;879500;stretch;CVE-2017-15671
glibc;2.24-11+deb9u3;unimportant;open;undefined;779392;stretch;CVE-2015-8985
glibc;2.24-11+deb9u3;low;open;undefined;879501;stretch;CVE-2017-15670
glibc;2.24-11+deb9u3;medium**;open;undefined;870650;stretch;CVE-2017-12132
glibc;2.24-11+deb9u3;unimportant;open;undefined;undefined;stretch;CVE-2010-4756
glibc;2.24-11+deb9u3;high**;open;undefined;884615;stretch;CVE-2017-16997
glibc;2.24-11+deb9u3;high**;open;undefined;887001;stretch;CVE-2018-1000001
glibc;2.24-11+deb9u3;medium**;open;undefined;884133;stretch;CVE-2017-1000409
glibc;2.24-11+deb9u3;low;open;undefined;879955;stretch;CVE-2017-15804
glibc;2.24-11+deb9u3;high**;open;undefined;884132;stretch;CVE-2017-1000408
glibc;2.24-11+deb9u3;high**;open;undefined;878159;stretch;CVE-2018-6485
glibc;2.24-11+deb9u3;high**;open;undefined;undefined;stretch;CVE-2018-6551
glibc;2.24-11+deb9u3;high**;open;undefined;862086;stretch;CVE-2017-8804
gnupg2;2.1.18-8~deb9u1;low;open;undefined;894983;stretch;CVE-2018-9234
libgcrypt20;1.7.6-2+deb9u2;unimportant;open;undefined;undefined;stretch;CVE-2018-6829
pcre3;2:8.39-3;unimportant;open;undefined;858679;stretch;CVE-2017-7246
pcre3;2:8.39-3;unimportant;open;undefined;undefined;stretch;CVE-2017-11164
pcre3;2:8.39-3;unimportant;open;undefined;858678;stretch;CVE-2017-7245
pcre3;2:8.39-3;unimportant;open;undefined;undefined;stretch;CVE-2017-16231
perl;5.24.1-3+deb9u2;unimportant;open;undefined;776268;stretch;CVE-2011-4116
perl;5.24.1-3+deb9u2;not yet assigned;resolved;5.24.1-3+deb9u3;undefined;stretch;CVE-2018-6797
perl;5.24.1-3+deb9u2;not yet assigned;resolved;5.24.1-3+deb9u3;undefined;stretch;CVE-2018-6913
perl;5.24.1-3+deb9u2;not yet assigned;resolved;5.24.1-3+deb9u3;undefined;stretch;CVE-2018-6798
shadow;1:4.4-4.1;unimportant;open;undefined;undefined;stretch;CVE-2007-5686
shadow;1:4.4-4.1;high**;open;undefined;756630;stretch;CVE-2017-12424
shadow;1:4.4-4.1;unimportant;open;undefined;778950;stretch;CVE-2013-4235
shadow;1:4.4-4.1;medium**;open;undefined;890557;stretch;CVE-2018-7169
systemd;232-25+deb9u2;medium**;open;undefined;undefined;stretch;CVE-2018-1049
systemd;232-25+deb9u2;unimportant;open;undefined;725357;stretch;CVE-2013-4392
systemd;232-25+deb9u2;unimportant;open;undefined;undefined;stretch;CVE-2017-18078
systemd;232-25+deb9u2;high**;open;undefined;890779;stretch;CVE-2018-6954
systemd;232-25+deb9u2;unimportant;open;undefined;undefined;stretch;CVE-2017-1000082
tar;1.29b-1.1;unimportant;open;undefined;328228;stretch;CVE-2005-2541
util-linux;2.29.2-1+deb9u1;high**;open;undefined;815922;stretch;CVE-2016-2779
