"Horodateur","Did you contribute to any software development project before?","Years of experience:","Which programming languages you used?","What is your role in the project?","Were you in charge of updating the used software libraries?","What could be the most appropriate version of a library to use?"

"2018/03/05 3:06:53 PM UTC+1","Yes","4",".net","Developer","Yes","Latest available"

"2018/03/05 3:13:56 PM UTC+1","Yes","1","Java;Python;PHP","Developer","No","Most stable"

"2018/03/05 3:15:41 PM UTC+1","Yes","1","Python","Developer","Yes","Most stable"
"2018/03/05 3:15:41 PM UTC+1","Yes","1","Python","Developer","Yes","Most tested"
"2018/03/05 3:15:41 PM UTC+1","Yes","1","Python","Developer","Yes","Most documented"
"2018/03/05 3:15:41 PM UTC+1","Yes","1","Python","Developer","Yes","Latest available"

"2018/03/05 3:29:34 PM UTC+1","Yes","5","JavaScript","Developer","Yes","Most stable"
"2018/03/05 3:29:34 PM UTC+1","Yes","5","JavaScript","Developer","Yes","Least complex"
"2018/03/05 3:29:34 PM UTC+1","Yes","5","JavaScript","Developer","Yes","Latest available"
"2018/03/05 3:29:34 PM UTC+1","Yes","5","JavaScript","Developer","Yes","Most documented"

"2018/03/05 3:35:46 PM UTC+1","Yes","1","Python","Developer","No","Most stable"
"2018/03/05 3:35:46 PM UTC+1","Yes","1","Python","Developer","No","Most secure"
"2018/03/05 3:35:46 PM UTC+1","Yes","1","Python","Developer","No","Most documented"

"2018/03/05 3:52:56 PM UTC+1","Yes","1","Java;Python;JavaScript","Developer","No","Latest available"

"2018/03/05 5:00:21 PM UTC+1","Yes","1","JavaScript","Developer","No","Most stable"

"2018/03/05 5:17:02 PM UTC+1","Yes","2","C++ plsql ant yaml","DevOp","No","Latest available"
"2018/03/05 5:17:02 PM UTC+1","Yes","2","C++ plsql ant yaml","DevOp","No","Most stable"
"2018/03/05 5:17:02 PM UTC+1","Yes","2","C++ plsql ant yaml","DevOp","No","Most secure"
"2018/03/05 5:17:02 PM UTC+1","Yes","2","C++ plsql ant yaml","DevOp","No","Has many contributors"

"2018/03/05 5:17:04 PM UTC+1","No","3","Python","Developer","Yes","Has many contributors"
"2018/03/05 5:17:04 PM UTC+1","No","3","Python","Developer","Yes","Most tested"
"2018/03/05 5:17:04 PM UTC+1","No","3","Python","Developer","Yes","Most documented"

"2018/03/05 5:40:25 PM UTC+1","Yes","4","JavaScript;Vb. Net, c#","Developer","Yes","Most stable"

"2018/03/05 5:45:24 PM UTC+1","Yes","3","Java;JavaScript;C#","Developer","Yes","Most stable"
"2018/03/05 5:45:24 PM UTC+1","Yes","3","Java;JavaScript;C#","Developer","Yes","Latest available"
"2018/03/05 5:45:24 PM UTC+1","Yes","3","Java;JavaScript;C#","Developer","Yes","Most documented"

"2018/03/05 5:46:14 PM UTC+1","Yes","4","JavaScript;C#","Developer","Yes","Most stable"

"2018/03/05 5:55:40 PM UTC+1","Yes","2","JavaScript;Android;.NET","Developer","Yes","Most stable"

"2018/03/05 7:26:37 PM UTC+1","Yes","3","C#","Developer","No","Most stable"

"2018/03/05 7:27:11 PM UTC+1","Yes","5","JavaScript;PHP;.net","leader","Yes","Latest available"
"2018/03/05 7:27:11 PM UTC+1","Yes","5","JavaScript;PHP;.net","leader","Yes","Most stable"
"2018/03/05 7:27:11 PM UTC+1","Yes","5","JavaScript;PHP;.net","leader","Yes","Most secure"
"2018/03/05 7:27:11 PM UTC+1","Yes","5","JavaScript;PHP;.net","leader","Yes","Least complex"
"2018/03/05 7:27:11 PM UTC+1","Yes","5","JavaScript;PHP;.net","leader","Yes","Most tested"
"2018/03/05 7:27:11 PM UTC+1","Yes","5","JavaScript;PHP;.net","leader","Yes","Latest available"
"2018/03/05 7:27:11 PM UTC+1","Yes","5","JavaScript;PHP;.net","leader","Yes","Most documented"

"2018/03/05 9:14:54 PM UTC+1","Yes","10","Java;JavaScript;C++","Developer","No","Most stable"

"2018/03/06 12:09:09 PM UTC+1","Yes","2","iOS","Developer","Yes","Latest available"
"2018/03/06 12:09:09 PM UTC+1","Yes","2","iOS","Developer","Yes","Most stable"
"2018/03/06 12:09:09 PM UTC+1","Yes","2","iOS","Developer","Yes","Most secure"
"2018/03/06 12:09:09 PM UTC+1","Yes","2","iOS","Developer","Yes","Least complex"
"2018/03/06 12:09:09 PM UTC+1","Yes","2","iOS","Developer","Yes","Most documented"
